nombre,descripcion,sare,municipio_id
Clases de Baile,"Proporcionar clases de manejo de automóviles, educación vial, ecología, personalidad, superación personal, para padres, para hablar en público, cursos de actualización para maestros, y otros servicios educativos no formales no clasificados en otra parte",1,Lerma
Clases de Modelaje,"Proporcionar clases de manejo de automóviles, educación vial, ecología, personalidad, superación personal, para padres, para hablar en público, cursos de actualización para maestros, y otros servicios educativos no formales no clasificados en otra parte",1,Lerma
Cocinas económicas y Fondas (sin venta y/o sin consumo de bebidas alcohólicas),"Preparación de alimentos y bebidas no alcohólicas para su consumo inmediato en las instalaciones del restaurante. Estas unidades económicas preparan y sirven los alimentos y bebidas no alcohólicas en el mismo momento en que lo ordena el cliente de acuerdo con un menú y atendiendo instrucciones específicas (a la carta), o preparan más de un platillo para el día de entre los cuales el cliente elige el de su preferencia para que le sea servido de inmediato (comida corrida). Los alimentos y bebidas no alcohólicas le son servidos al cliente por personal de la unidad económica",1,Lerma
Comercio de artículos electrodomésticos,"Comercio al por menor especializado de televisores, estéreos, lavadoras, estufas, refrigeradores, máquinas de coser, otros electrodomésticos menores y aparatos de línea blanca nuevos",1,Lerma
Comercio de bicicletas,"Comercio al por menor especializado de bicicletas (infantiles, de turismo, deportivas, etc.) y triciclos nuevos, y partes para bicicletas y triciclos",1,Lerma
Comercio de cocinas integrales,Comercio al por menor especializado de cocinas integrales prefabricadas nuevas,1,Lerma
Comercio de enseres eléctricos y línea blanca,"Comercio al por menor especializado de televisores, estéreos, lavadoras, estufas, refrigeradores, máquinas de coser, otros electrodomésticos menores y aparatos de línea blanca nuevos",1,Lerma
Comercio de equipo de computo,"Comercio al por menor especializado de mobiliario, equipo de cómputo, equipo periférico, consumibles y accesorios nuevos, como muebles para computadoras, computadoras, software, impresoras, escáner, equipo de redes, papel para impresora, discos duros, flexibles y ópticos de uso informático, cintas para impresoras, tóner, cartuchos, ratones, portadisquetes, fundas para computadoras, y refacciones nuevas",1,Lerma
Comercio de equipo de oficina,"Comercio al por mayor especializado de mobiliario y equipo de oficina, como escritorios, archiveros, máquinas de escribir, calculadoras, engargoladoras, máquinas contadoras de billetes y proyectores",1,Lerma
Comercio de equipo médico y de laboratorio,"Comercio al por mayor especializado de muebles, equipo, material e instrumental para uso médico, odontológico, oftálmico y para laboratorio",1,Lerma
Comercio de forja artística,Realización de trabajos de herrería en el lugar de la construcción,1,Lerma
Comercio de instrumentos musicales,"Comercio al por menor especializado de instrumentos musicales nuevos y sus accesorios, como atriles, sintetizadores, amplificadores, bocinas, consolas y partituras  y sinfonolas",1,Lerma
Comercio de madera (para la construcción),"Comercio al por mayor especializado de madera aserrada para la construcción y la industria, como tablón, viga, triplay, duela, polines, aglomerados, barrotes, tarimas, madera para cimbra",1,Lerma
"Comercio de maquinaria para la industria agropecuaria, manufacturera y de la construcción nueva (sin venta de refacciones)","Comercio al por mayor especializado de maquinaria y equipo, partes y refacciones para la construcción y la minería, como excavadoras, trascabos, allanadoras, aplanadoras, revolvedoras, compactadoras, motobombas, compresoras, perforadoras y equipo para pavimentación",1,Lerma
"Comercio de maquinaria para la industria agropecuaria, manufacturera y de la construcción nueva (sin venta de refacciones)","Comercio al por mayor especializado de maquinaria y equipo, partes y refacciones para la industria manufacturera, como maquinaria y equipo para la industria, alimentaria, textil y metalmecánica",1,Lerma
Comercio de materia prima y artículos para fiestas,"Comercio al por menor especializado de dulces, chocolates, chicles, bombones, dulces regionales, polvos para gelatinas, saborizantes y colorantes, y otras materias primas usadas en la elaboración de productos de repostería, como conservadores y esencias",1,Lerma
Comercio de sombreros y/o gorras,Comercio al por menor especializado de sombreros nuevos,1,Lerma
Comercio de textiles,Comercio al por menor especializado de telas para la confección de prendas de vestir y la decoración en general,1,Lerma
Compañía de limpieza (oficinas),"Limpieza de inmuebles (limpieza de ventanas, baños, lavado y encerado de pisos). limpieza interior de aviones, barcos, trenes y carros ferroviarios",1,Lerma
Compañía de seguros,"Emisión de pólizas de seguros de vida (tanto individuales como colectivos), contra accidentes, robo o daños, dedicadas principalmente a la contratación de seguros con riesgos correlacionados (reaseguramiento)",1,Lerma
Compra y venta de productos de arte,"Comercio al por menor especializado de antigüedades y obras de arte, como pinturas, esculturas, timbres y monedas de colección, y objetos antiguos valiosos",1,Lerma
Consultorías,"Consultoría en administración, medio ambiente, y otros servicios de consultoría científica y técnica, en mercadotecnia, actuarial (en compensaciones y beneficios para empleados); a la consultoría en administración de servicios públicos y telecomunicaciones; a la consultoría en sanidad, y a la certificación de sistemas administrativos, dedicadas principalmente a la contratación de seguros con riesgos correlacionados (reaseguramiento)",1,Lerma
Consultorio de nutrición,"Proporcionar servicios de consulta médica externa especializada, como servicios médicos especializados en cardiología, gastroenterología, otorrinolaringología, ginecología, homeopatía, nutrición, psiquiatría, oftalmología, traumatología y ortopedia, dermatología, geriatría, control de peso con prescripción médica, prestados por profesionistas con estudios de licenciatura en medicina y con alguna especialidad médica",1,Lerma
Consultorio de quiropráctico,"Proporcionar servicios de rehabilitación física mediante la manipulación manual (ajuste) de la columna vertebral y las extremidades, prestados por técnicos, personal paramédico y profesionistas que no cuentan con la licenciatura en medicina",1,Lerma
Consultorio médico,Proporcionar servicios de consulta médica externa general prestados por profesionistas con estudios mínimos de licenciatura en medicina,1,Lerma
Consultorio médico veterinario,Proporcionar servicios de medicina veterinaria para mascotas,1,Lerma
Consultorio psicológico,"Atención de aspectos relacionados con el comportamiento humano, prestados por técnicos, personal paramédico y profesionistas que no cuentan con la licenciatura en medicina",1,Lerma
Consultorios dentales,"Proporcionar servicios de odontología, como periodoncia, cirugía maxilofacial, endodoncia, prostodoncia, ortodoncia y cosmetología dental",1,Lerma
Cremería y salchichonería,"Venta de productos lácteos, embutidos y sus derivados",1,Lerma
Decoración,"Comercio al por menor especializado de alfombras, losetas vinílicas, linóleos, pisos de madera, tapices, tapetes, cortinas de materiales no textiles, persianas y gobelinos nuevos",1,Lerma
Depósito de materiales reciclables,"Comercio al por mayor especializado de materiales de desecho para reciclaje, como metal, papel, cartón, vidrio y plástico",1,Lerma
Diseño industrial,"Aplicación de los principios de la ingeniería en el diseño, desarrollo y utilización de máquinas, materiales, instrumentos, procesos, sistemas y edificaciones, para proyectos de ingeniería civil, mecánica, industrial, textil, electrónica, química, geofísica y ambiental",1,Lerma
Dulcería,"Compra-venta de dulces, golosinas, botanas, chocolates envasados, empaquetados, etiquetados y con envoltura o a granel",1,Lerma
Escritorios públicos,"Dedicadas principalmente a mecanografiar, capturar y formatear textos, corrección de estilo y a los servicios de estenografía no realizados en los tribunales",1,Lerma
Escuelas de manejo,"Proporcionar clases de manejo de automóviles, educación vial, ecología, personalidad, superación personal, para padres, para hablar en público, cursos de actualización para maestros, y otros servicios educativos no formales no clasificados en otra parte",1,Lerma
Estudio fotográfico,"Servicios de revelado e impresión de fotografías, y otros servicios fotográficos como ampliación, reducción y restauración digital",1,Lerma
Estudio y Venta de artículos fotográficos,"Comercio al por menor especializado de equipo y material fotográfico nuevo y sus accesorios, como cámaras, trípodes, lentes, fundas, rollos, papel y productos químicos para fotografía",1,Lerma
Expendio de pan,"Al comercio al por menor especializado de galletas, pan, pasteles, gelatinas, flanes y budines",1,Lerma
Farmacia,Comercio al por menor de medicamentos alópatas para consumo humano y de preparaciones químicas realizadas en el establecimiento comercializador,1,Lerma
Farmacia Homeopática,"Comercio al por menor especializado de productos naturistas (alimentos, hierbas y plantas medicinales, cosméticos), medicamentos homeopáticos y complementos alimenticios para consumo humano",1,Lerma
Filatelia y numismática,"Comercio al por menor especializado de antigüedades y obras de arte, como pinturas, esculturas, timbres y monedas de colección, y objetos antiguos valiosos",1,Lerma
Florería,"Comercio al por menor especializado de plantas, flores y árboles naturales, arreglos florales y frutales, coronas funerarias, naturalezas muertas",1,Lerma
Galería de arte,"Comercio al por menor especializado de antigüedades y obras de arte, como pinturas, esculturas, timbres y monedas de colección, y objetos antiguos valiosos",1,Lerma
Gimnasio,"Proporcionar servicios de acceso a centros de acondicionamiento físico, y servicios de instalaciones especializadas para la práctica de algún deporte, como canchas de tenis, futbol, frontón, básquetbol, squash, albercas y gimnasios",1,Lerma
Imprenta,"Impresión de formas continuas y hojas membretadas con sello de agua, y a la impresión hecha sobre pedido de catálogos, agendas, folletos, programas de espectáculos, calendarios, tarjetas postales, tarjetas de felicitación, litografías, facturas, invitaciones, almanaques y otros impresos sobre cualquier tipo de material",1,Lerma
Ingeniería industrial,"Aplicación de los principios de la ingeniería en el diseño, desarrollo y utilización de máquinas, materiales, instrumentos, procesos, sistemas y edificaciones, para proyectos de ingeniería civil, mecánica, industrial, textil, electrónica, química, geofísica y ambiental",1,Lerma
Inmobiliaria (oficinas),Intermediación en las operaciones de venta y alquiler de bienes raíces propiedad de terceros a cambio de una comisión,1,Lerma
Interpretes traductores,"Proporcionar servicios de traducción de textos, interpretación de un idioma a otro y por señas",1,Lerma
Jarcería,"Comercio al por menor especializado de trapeadores, escobas, cepillos, cubetas, jergas, bolsas para basura, cloro, desinfectantes, desengrasantes, suavizantes de tela, aromatizantes. Incluye también: u.e.d.p. al comercio al por menor especializado de papel higiénico, detergentes y jabones",1,Lerma
Joyerías,"Comercio al por menor especializado de joyería fina, relojes, cubiertos de metales preciosos y artículos decorativos de metales preciosos, como charolas y jarrones",1,Lerma
Jugos y licuados (sin venta y/o sin consumo de bebidas alcohólicas),"Preparación de café, nieves, jugos, licuados y otras bebidas no alcohólicas, así como a preparar y servir alimentos para su consumo inmediato en las instalaciones de la unidad económica",1,Lerma
Juguetería,Comercio al por menor especializado de juguetes nuevos,1,Lerma
"Lavado de alfombras, tapetes y similares","Limpieza de inmuebles (limpieza de ventanas, baños, lavado y encerado de pisos)",1,Lerma
Librería,Comercio al por menor especializado de libros nuevos,1,Lerma
Loncherías y antojitos (sin venta y/o sin consumo de bebidas alcohólicas),"Preparación de antojitos, como pozole, menudo, birria, quesadillas, gorditas, sopes y similares, barbacoa y carnitas, así como a preparar y servir bebidas no alcohólicas para su consumo inmediato en las instalaciones del restaurante. Los alimentos y bebidas no alcohólicas le son servidos al cliente por personal de la unidad económica",1,Lerma
Máquinas expendedoras de mercancía,"Comercio al por menor de productos propios exclusivamente a través de Internet de negocios a consumidores; a la venta por televisión, y al comercio al por menor mediante la utilización de alguno de los siguientes métodos: comercio de productos a través de máquinas expendedoras; comercio puerta por puerta; comercio multinivel; comercio por catálogo; comercio con demostración de productos en hogares, y telemercadeo con ventas vía telefónica",1,Lerma
Mercería y bonetería,"Comercio al por menor especializado de artículos de mercería (cierres, encajes, hilos, estambres, hilazas, botones), artículos de bonetería y pasamanería",1,Lerma
Merenderos (sin venta y/o sin consumo de bebidas alcohólicas),"Preparación de alimentos como gelatinas, tamales, pasteles y pan casero, frituras y elotes, así como bebidas no alcohólicas, para su consumo inmediato en el mismo lugar o para llevar",1,Lerma
Molino de Nixtamal,Elaboración de tortillas de maíz y molienda de nixtamal,1,Lerma
Mueblerías,"Comercio al por menor especializado de muebles para el hogar, electrodomésticos menores, aparatos de línea blanca, muebles para jardín, cristalería, loza y utensilios de cocina nuevos",1,Lerma
Mudanza,"Proporcionar servicios de mudanzas, como el transporte de enseres domésticos, equipo comercial, de oficina y artículos que requieren de manejo especial, realizado por lo regular en camiones de caja cerrada",1,Lerma
Muros falsos,"Colocación de muros y plafones falsos de yeso o de otro material, y a la colocación de paneles y material para aislamiento térmico o acústico. Puede tratarse de trabajos nuevos, ampliaciones, remodelaciones, mantenimiento o reparaciones de muros falsos y paneles de aislamiento",1,Lerma
Notaria pública,"Proporcionar servicios notariales y de certificación con la finalidad de dar fe y legalidad a actos y hechos jurídicos, por ejemplo certificación de la identidad de personas, validación y ratificación de firmas, certificación de hechos (testamentos, operaciones de compra‐venta de inmuebles). Estos servicios son proporcionados por notarios, que tienen el título de abogados y están autorizados por los gobiernos estatales, incluye la correduría pública",1,Lerma
Ópticas y consultorios oftalmológicos,"Estudios sobre el nivel o la calidad de visión de las personas, prestados por técnicos, personal paramédico y profesionistas que no cuentan con la licenciatura en medicina",1,Lerma
Orfebrería,"Fabricación de joyería de fantasía hecha de metales y piedras no preciosos, plástico y otros materiales",1,Lerma
Organización de eventos,"Organización y promoción de congresos, convenciones y ferias comerciales e industriales",1,Lerma
Ostionerías (sin venta y/o sin consumo de bebidas alcohólicas),"Preparación de pescados y mariscos, así como a preparar y servir bebidas no alcohólicas para su consumo inmediato en las instalaciones del restaurante. Los alimentos y bebidas no alcohólicas le son servidos al cliente por personal de la unidad económica",1,Lerma
Panadería,"Elaboración y venta directa al público en general de una gran variedad de productos frescos de panadería, como pan, pasteles y pastelillos",1,Lerma
Papelería,Comercio al por menor especializado de artículos de papelería para uso escolar y de oficina,1,Lerma
Pastelería,"Elaboración y venta directa al público en general de una gran variedad de productos frescos de panadería, como pan, pasteles y pastelillos",1,Lerma
Peletería,"Comercio al por mayor especializado de cueros y pieles, materias primas para el curtido y para la elaboración de productos de cuero y piel",1,Lerma
Peletería y neverías / fuente de sodas (sin venta y/o sin consumo de bebidas alcohólicas),"Preparación de café, nieves, jugos, licuados y otras bebidas no alcohólicas, así como a preparar y servir alimentos para su consumo inmediato en las instalaciones de la unidad económica",1,Lerma
Peluquerías,"Proporcionar servicios de cuidado y arreglo personal, como cuidado del cabello, la piel y las uñas; servicios de depilación",1,Lerma
Perfumería,"Comercio al por menor especializado de perfumes, colonias, lociones, esencias, cremas y otros artículos de belleza, como peines, espejos, rizadores, uñas postizas, limas, ceras depiladoras",1,Lerma
Periódicos y revistas,Comercio al por menor especializado de revistas nuevas y periódicos,1,Lerma
Pescaderías y marisquerías,"Comercio al por menor especializado de pescados y mariscos (frescos, secos, salados y congelados), y de otros productos alimenticios de origen marino como huevos o huevas",1,Lerma
"Pisos, azulejos y baños","Comercio al por menor especializado de pisos y recubrimientos cerámicos, muebles de baño, como tinas de baño, y accesorios para baño. Estas unidades económicas se caracterizan por comercializar pisos y recubrimientos cerámicos a través de un mostrador o permitiendo el acceso de los clientes para que ellos los elijan directamente",1,Lerma
Pizzerías (sin venta y/o sin consumo de bebidas alcohólicas),"Preparación de pizzas, hamburguesas, pollos rostizados, asados, adobados y similares, hot dogs y bebidas no alcohólicas, para su consumo inmediato en un lugar",1,Lerma
Plomería,"Instalaciones hidrosanitarias y de gas en construcciones. Puede tratarse de trabajos nuevos, ampliaciones, remodelaciones, mantenimiento o reparaciones de instalaciones hidrosanitarias y de gas",1,Lerma
Pollería,"Comercio al por menor especializado de carne y vísceras de aves, como: pollo, codorniz, pato y pavo",1,Lerma
"Producción de video, videoclip y material audiovisual","Proporcionar servicios de fotografía y videograbación. Estas unidades pueden especializarse en actividades como fotografía de retratos, fotografía y videograbación para eventos especiales, fotografía y videograbación para el comercio o la industria",1,Lerma
Productos de belleza,"Comercio al por menor especializado de perfumes, colonias, lociones, esencias, cremas y otros artículos de belleza, como peines, espejos, rizadores, uñas postizas, limas, ceras depiladoras",1,Lerma
Recaudería,Al comercio al por menor especializado de frutas y verduras frescas,1,Lerma
Regalos,"Comercio al por menor especializado de regalos, tarjetas de felicitaciones y para toda ocasión, calcomanías, globos, papel para envolver, moños y novedades",1,Lerma
Relojerías,"Comercio al por mayor especializado de joyería fina, relojes y piedras preciosas",1,Lerma
Renta de inflables,"Alquiler de mesas, sillas, vajillas, utensilios de cocina, mantelería, lonas, carpas y similares, para ocasiones especiales",1,Lerma
Reparación de calzado,"Reparación de calzado y otros artículos de piel y cuero, como ropa, bolsas y portafolios",1,Lerma
Reparación y mantenimiento de aparatos para el hogar,"Reparación y mantenimiento de aparatos eléctricos para el hogar y personales, como licuadoras, tostadores, planchas, estufas, hornos, refrigeradores, aspiradoras, lavadoras, secadoras, ventiladores, rasuradoras, taladros, cortadoras de césped y herramientas de uso manual",1,Lerma
Restaurantes (sin venta y/o sin consumo de bebidas alcohólicas),"Preparación de alimentos y bebidas no alcohólicas para su consumo inmediato en las instalaciones de la unidad económica o para llevar, preparación de bebidas no alcohólicas (café, té, chocolate) para consumo inmediato en combinación con la elaboración de pan, y a preparar y servir café para consumo inmediato en combinación con el tostado y la molienda del mismo",1,Lerma
Rosticería (con consumo en el lugar) (sin venta y/o sin consumo de bebidas alcohólicas),"Unidades económicas (restaurantes) dedicadas principalmente a la preparación de tacos, tortas, sándwiches, hamburguesas y hot dogs, así como a preparar y servir bebidas no alcohólicas para su consumo inmediato en las instalaciones del restaurante",1,Lerma
Rosticería (sin consumo en el lugar),"Preparación de pizzas, hamburguesas, pollos rostizados, asados, adobados y similares, hotdogs y bebidas, para su consumo inmediato en un lugar distinto a las instalaciones del restaurante. El cliente ordena su pedido a través de un mostrador, barra o por vía telefónica y paga antes o al momento de la entrega de sus alimentos",1,Lerma
Salón de belleza y estética,"Proporcionar servicios de cuidado y arreglo personal, como cuidado del cabello, la piel y las uñas; servicios de depilación",1,Lerma
Serigrafía/Imprenta,"Unidades económicas dedicadas principalmente a la edición de otros materiales, como catálogos, agendas, folletos, programas de espectáculos, calendarios, tarjetas postales, tarjetas de felicitación y litografías, integrada con la impresión en papel o con la grabación en formato electrónico, por ejemplo en discos compactos (CD), libros para iluminar y mapas",1,Lerma
Servicio de mensajería y paquetería,"Recolección, transporte y entrega, en los plazos mínimos posibles, entre ciudades y áreas metropolitanas, nacionales e internacionales, de documentos y paquetes pequeños",1,Lerma
Servicios de enfermería,Proporcionar servicios calificados de enfermería en el domicilio del paciente (domicilio no se refiere sólo a un hogar sino al hecho de trasladarse para prestar el servicio en la ubicación en la que es solicitado),1,Lerma
Servicios funerarios,"Venta de ataúdes; proporcionar servicios funerarios, como traslado de cuerpos, velación; apoyo para trámites legales",1,Lerma
Servicios veterinarios para ganadería,Proporcionar servicios de medicina veterinaria para la ganadería,1,Lerma
Servicios veterinarios para la ganadería,Proporcionar servicios de medicina veterinaria para la ganadería,1,Lerma
Servicios veterinarios para mascotas,Proporcionar servicios de medicina veterinaria para mascotas,1,Lerma
Sistemas de seguridad,"Protección y custodia mediante el monitoreo de sistemas de seguridad, como sistemas de alarmas contra robo e incendio",1,Lerma
Spa,Proporcionar servicios de masajes reductivos,1,Lerma
Suministro de alimentos a empresas (sin venta y/o sin consumo de bebidas alcohólicas),"Preparación y entrega de alimentos y bebidas no alcohólicas para consumo inmediato por contrato para industrias, oficinas, hospitales, medios de transporte, e instituciones, por un tiempo determinado",1,Lerma
Suministro de buffets y banquetes (sin venta y/o sin consumo de bebidas alcohólicas),"Preparación y entrega de alimentos y bebidas no alcohólicas para consumo inmediato para ocasiones especiales como bodas, seminarios y conferencias. Incluye también, preparación de alimentos y bebidas para ocasiones especiales en combinación con el alquiler de salones para fiestas",1,Lerma
Tabaquería,"Comercio al por menor especializado de cigarros, puros y tabaco para pipa y para mascar",1,Lerma
Talabartería (comercio),"Fabricación de sillas de montar, fuetes, arreos, estuches, suelas para calzado, cintas para calzado, llaveros, correas para reloj, pulseras, fundas (excepto para volantes y asientos de automóviles), cubiletes, artículos de piel para escritorio, bandas y guantes de uso industrial, y otros productos de cuero y piel naturales y regenerados y de materiales sucedáneos no clasificados en otra parte",1,Lerma
Taller de bicicletas,Reparación y mantenimiento de bicicletas,1,Lerma
Taller de cancelería y aluminio,"Instalación de cancelería de aluminio, a la impermeabilización de construcciones y a otros trabajos de acabados en la construcción no clasificados en otra parte. Puede tratarse de trabajos nuevos, ampliaciones, remodelaciones, mantenimiento o reparaciones de otros trabajos de acabados en edificaciones no clasificados en otra parte",1,Lerma
Tapicería y reparación de muebles de asiento,"Cubrir o revestir con tapices los muebles para el hogar, como sillas, sillones y sofás",1,Lerma
Taquerías (sin venta y/o sin consumo de bebidas alcohólicas),"Preparación de tacos, tortas, sándwiches, hamburguesas y hot dogs, así como a preparar y servir bebidas no alcohólicas para su consumo inmediato en las instalaciones del restaurante. Los alimentos y bebidas no alcohólicas le son servidos al cliente por personal de la unidad económica",1,Lerma
"Telas, casimires y similares",Comercio al por menor especializado de telas para la confección de prendas de vestir y la decoración en general,1,Lerma
Telefonía celular,"Comercio al por menor especializado de aparatos de comunicación, como teléfonos celulares, antenas parabólicas, faxes, interfonos, partes, refacciones y accesorios nuevos",1,Lerma
Tienda naturista,"Comercio al por menor especializado de productos naturistas (alimentos, hierbas y plantas medicinales, cosméticos), medicamentos homeopáticos y complementos alimenticios para consumo humano",1,Lerma
Tiendas veterinarias,"Comercio al por menor especializado de mascotas, jaulas, peceras, collares, medicamentos, alimentos, juguetes y otros productos para mascotas",1,Lerma
Tlapalería/Ferretería,"Comercio al por menor de artículos para plomería, material eléctrico, material de construcción, tornillos, clavos, cerrajería, abrasivos, herramientas manuales como taladros, pulidoras, lijadoras, martillos, palas, cinceles de corte, cuñas, cucharas de albañil",1,Lerma
