nombre,descripcion,path,tipo,tramite,municipio_id
Aviso de inicio de operaciones y actualización de datos a establecimientos de salubridad local,Se trata de la recepción de avisos de funcionamiento de los giros que no requieren autorización sanitaria. Los giros a los cuales aplica el trámite pueden ser consultados en el link proporcionado,http://www.edomexico.gob.mx/rete/doc/pdf/ISEM4.pdf,Física,Estatal,Lerma
Dictamen de incorporación e impacto vial,"Se trata de un estudio del impacto en la infraestructura vial, flujo vahícular y peatonal producto de la construcción, ampliación, modernización u operaciones de edificaciones o instalaciones cuyos usos generen impacto regional. Se determinan, en caso de ser necesarias, las obras y acciones necesarias para mitigar su efecto.",http://www.edomexico.gob.mx/rete/PORTRAMITE/COMUNICACIONES/DGV1.pdf,Física,Estatal,Lerma
"Dictamen de factibilidad de servicios de agua potable, drenaje y saneamiento de acuerdo a la normatividad",Se trata de un dictamen realizado por la Comisión del Agua del Estado de México para que el inversionista garantice el caudal de agua potable para operar sus instalaciones.,http://www.edomexico.gob.mx/rete/PORTRAMITE/AGUA/CAEM1.pdf,Física,Estatal,Lerma
Dictamen de impacto regional,"Establece un tratamiento normativo integral para el uso o aprovechamiento de un determinado predio o inmueble, que por sus características producen un impacto significativo sobre la estructura, equipamiento urbano y servicios públicos previstos para una región o para un centro de población.",http://www.edomexico.gob.mx/rete/PORTRAMITE/URBANO/DGOYAU5.pdf,Física,Estatal,Lerma
Aviso de inicio de operaciones o actualización de datos a establecimientos de salubridad local,"Consiste en la presentación de un aviso dentro de los 10 días posteriores al inicio de actividades de giros relacionados con servicios de hospedaje (hoteles, moteles, etcétera), así como los clubes deportivos, estadios, centros de espectáculos, salones de baile y similares, peluquerías, salones de belleza y similares, ferreterías sin venta de solventes.",http://sistemas.edomex.gob.mx/TramitesyServicios/jsp/Contenido.jsp,Física,Estatal,Lerma
Certificado de Empresa Mexiquense,"Se otorga el Certificado de Empresa Mexiquense a las empresas que acreditan estar constituidas legalmente, al corriente de sus obligaciones fiscales y realizan su actividad en el territorio estatal, para recibir apoyos como preferencia, en igualdad de condiciones, en la adquisición de bienes, así como en la contratación de servicios, arrendamientos y obras públicas, además de los establecidos en el Programa Anual de Incentivos.",http://sistemas.edomex.gob.mx/TramitesyServicios/jsp/Contenido.jsp,Física,Estatal,Lerma
Inscripción al Registro Estatal de Contribuyentes.,Consiste en registrar a todos aquellos contribuyentes persona física o jurídica colectiva con obligaciones fiscales en el Estado de México.,http://sistemas.edomex.gob.mx/TramitesyServicios/jsp/Contenido.jsp,Física,Estatal,Lerma
Dictamen de protección civil para construcciones que produzcan impacto regional,"Este trámite es necesario para estaciones de servicio, de carburación, plantas de almacenamiento de gas L.P. y proyectos denominados de alto riesgo.",http://www.edomexico.gob.mx/rete/portramite/generalgobierno/dgpc1.pdf,Moral,Estatal,Lerma
Evaluación de impacto y riesgo ambiental,Por medio de este procedimiento la Secretaría del Medio Ambiente evalúa el impacto y riesgo ambiental de proyectos específicos.,http://www.edomexico.gob.mx/rete/PORTRAMITE/MEDIOAMBIENTE/DGOIA1.pdf,Moral,Estatal,Lerma
Solicitud de autorización sanitaria por apertura y actualización de datos,"Es un análisis de requisitos sanitarios para la prestación de servicios a establecimientos fijos de alimentos y bebidas no alcohólicas en la vía pública, así como a panteones. Los giros correspondientes son los 420011, 821241, 931051 del Catálogo Mexicano de Actividades y Productos.",http://www.edomexico.gob.mx/rete/PORTRAMITE/SALUD/ISEM3.pdf,Moral,Estatal,Lerma
Aviso de inicio de operaciones y actualización de datos a establecimientos de salubridad local,Se trata de la recepción de avisos de funcionamiento de los giros que no requieren autorización sanitaria. Los giros a los cuales aplica el trámite pueden ser consultados en el link proporcionado,http://www.edomexico.gob.mx/rete/doc/pdf/ISEM4.pdf,Moral,Estatal,Lerma
Dictamen de incorporación e impacto vial,"Se trata de un estudio del impacto en la infraestructura vial, flujo vahícular y peatonal producto de la construcción, ampliación, modernización u operaciones de edificaciones o instalaciones cuyos usos generen impacto regional. Se determinan, en caso de ser necesarias, las obras y acciones necesarias para mitigar su efecto.",http://www.edomexico.gob.mx/rete/PORTRAMITE/COMUNICACIONES/DGV1.pdf,Moral,Estatal,Lerma
"Dictamen de factibilidad de servicios de agua potable, drenaje y saneamiento de acuerdo a la normatividad",Se trata de un dictamen realizado por la Comisión del Agua del Estado de México para que el inversionista garantice el caudal de agua potable para operar sus instalaciones.,http://www.edomexico.gob.mx/rete/PORTRAMITE/AGUA/CAEM1.pdf,Moral,Estatal,Lerma
Dictamen de impacto regional,"Establece un tratamiento normativo integral para el uso o aprovechamiento de un determinado predio o inmueble, que por sus características producen un impacto significativo sobre la estructura, equipamiento urbano y servicios públicos previstos para una región o para un centro de población.",http://www.edomexico.gob.mx/rete/PORTRAMITE/URBANO/DGOYAU5.pdf,Moral,Estatal,Lerma
Aviso de inicio de operaciones o actualización de datos a establecimientos de salubridad local,"Consiste en la presentación de un aviso dentro de los 10 días posteriores al inicio de actividades de giros relacionados con servicios de hospedaje (hoteles, moteles, etcétera), así como los clubes deportivos, estadios, centros de espectáculos, salones de baile y similares, peluquerías, salones de belleza y similares, ferreterías sin venta de solventes.",http://sistemas.edomex.gob.mx/TramitesyServicios/jsp/Contenido.jsp,Moral,Estatal,Lerma
Certificado de Empresa Mexiquense,"Se otorga el Certificado de Empresa Mexiquense a las empresas que acreditan estar constituidas legalmente, al corriente de sus obligaciones fiscales y realizan su actividad en el territorio estatal, para recibir apoyos como preferencia, en igualdad de condiciones, en la adquisición de bienes, así como en la contratación de servicios, arrendamientos y obras públicas, además de los establecidos en el Programa Anual de Incentivos.",http://sistemas.edomex.gob.mx/TramitesyServicios/jsp/Contenido.jsp,Moral,Estatal,Lerma
Inscripción al Registro Estatal de Contribuyentes.,Consiste en registrar a todos aquellos contribuyentes persona física o jurídica colectiva con obligaciones fiscales en el Estado de México.,http://sistemas.edomex.gob.mx/TramitesyServicios/jsp/Contenido.jsp,Moral,Estatal,Lerma
